Tên thư mục,Tên đề thi ,Loại câu hỏi,Điểm,Nội dung câu hỏi,A,B,C,D,Đáp Án,Độ Khó,Cố định đáp án,
Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong cấu trúc danh sách kề (Adjacency list) của đồ thị có hướng, danh sách kề của đỉnh u lưu trữ những gì?","Danh sách các đỉnh v mà tồn tại cung (u,v)","Danh sách các đỉnh v mà tồn tại cung (v,u)","Danh sách toàn bộ các đỉnh kề u (bất chấp hướng)","Danh sách các cạnh đi vào u",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Duyệt đồ thị theo chiều sâu (DFS) dạng khử đệ quy thì cần sử dụng cấu trúc dữ liệu nào sau đây?","Ngăn xếp (Stack)","Hàng đợi (Queue)","Hàng đợi ưu tiên (Priority Queue)","Danh sách liên kết đôi (Doubly Linked List)",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Khi duyệt đồ thị bằng thuật toán tìm kiếm theo chiều rộng (BFS), để lưu trữ danh sách các đỉnh đang chờ duyệt kế tiếp ta dùng:","Hàng đợi (Queue)","Ngăn xếp (Stack)","Cây nhị phân (Binary Tree)","Đồ thị con (Subgraph)",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Một đồ thị có hướng được gọi là liên thông mạnh (strongly connected) khi:","Giữa hai đỉnh bất kỳ u và v luôn có đường đi từ u đến v và ngược lại từ v đến u","Đồ thị vô hướng nền của nó là liên thông","Có ít nhất một đỉnh đi được đến tất cả các đỉnh còn lại","Mọi đỉnh đều có bán bậc ra lớn hơn 0",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Đỉnh khớp (Cut vertex / Articulation point) trong một đồ thị vô hướng liên thông là đỉnh có tính chất:","Khi xóa đỉnh đó cùng các cạnh liên thuộc sẽ làm đồ thị mất tính liên thông","Đỉnh có bậc lớn nhất trong đồ thị","Đỉnh nằm trên mọi chu trình của đồ thị","Đỉnh có bậc bằng 1",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Đồ thị vô hướng 'nền' của một đồ thị có hướng là gì?","Đồ thị vô hướng thu được bằng cách loại bỏ hướng của mọi cung thành cạnh vô hướng","Đồ thị vô hướng thu được bằng cách bỏ qua các cung không tạo thành chu trình","Đồ thị vô hướng chỉ giữ lại các cặp cung đối xứng nhau","Cây khung của đồ thị có hướng đó",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Việc ứng dụng BFS duyệt từ một đỉnh nguồn S trên đồ thị không trọng số còn giúp tìm được gì?","Đường đi ngắn nhất (ít số cạnh nhất) từ S đến các đỉnh khác","Chu trình Euler của đồ thị","Chu trình Hamilton của đồ thị","Cây khung có tổng trọng số lớn nhất",A,Vận dụng,1,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Một đồ thị vô hướng, liên thông được gọi là đồ thị nửa Euler khi có đặc điểm gì về bậc của các đỉnh?","Có đúng 2 đỉnh bậc lẻ, mọi đỉnh còn lại bậc chẵn","Có đúng 1 đỉnh bậc lẻ","Tất cả các đỉnh đều bậc lẻ","Không có đỉnh nào bậc chẵn",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Thuật toán Fleury được ứng dụng để giải quyết bài toán nào trên đồ thị?","Tìm chu trình Euler hoặc đường đi Euler","Tìm chu trình Hamilton","Tìm luồng cực đại từ phát đến thu","Tìm đường đi ngắn nhất giữa hai đỉnh",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Theo quy tắc của thuật toán Fleury khi tìm chu trình Euler; lúc chọn cạnh tiếp theo để đi từ một đỉnh ta phải ưu tiên điều gì?","Chỉ đi qua cạnh cầu khi không còn bất kỳ sự lựa chọn nào khác","Luôn ưu tiên đi qua cạnh cầu đầu tiên","Ưu tiên chọn cạnh nối với đỉnh có bậc nhỏ nhất","Luôn đi theo thứ tự từ điển của các cạnh kề",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Định lý Dirac chỉ ra điều kiện đủ để đồ thị vô hướng đơn G (n >= 3 đỉnh) có chu trình Hamilton là: Mọi đỉnh phải có bậc...","Lớn hơn hoặc bằng n/2","Lớn hơn hoặc bằng n - 1","Luôn là số chẵn","Nhỏ hơn hoặc bằng n/2",A,Vận dụng,1,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Bài toán nổi tiếng 'Mã đi tuần' (Knight's tour) trên bàn cờ vua là ví dụ điển hình của việc tìm kiếm gì trên đồ thị?","Đường đi hoặc chu trình Hamilton","Đường đi hoặc chu trình Euler","Đường đi ngắn nhất bằng Dijkstra","Đồ thị phân thủy",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong thuật toán Quay lui (Backtracking) tìm chu trình Hamilton; khi nào chương trình xác nhận và in ra một chu trình?","Khi đã thăm đúng n đỉnh và đỉnh cuối cùng kề với đỉnh xuất phát","Khi mảng đánh dấu báo hiệu đã đi qua tất cả các cạnh","Khi đi đến một đỉnh không còn đỉnh kề chưa xét","Khi tạo được một cây khung không chu trình",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Một khu rừng (Forest) có n đỉnh và gồm k thành phần liên thông (mỗi thành phần là một cây) thì tổng số cạnh của khu rừng là:","n - k","n - 1","n + k","k - 1",A,Vận dụng,1,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Thuật toán Prim dùng để tìm cây khung nhỏ nhất bắt đầu mở rộng cây khung từ đâu?","Từ một đỉnh bất kỳ được chọn làm đỉnh gốc","Từ cạnh có trọng số nhỏ nhất đồ thị","Từ cạnh có trọng số lớn nhất đồ thị","Từ đỉnh có bậc lớn nhất đồ thị",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong thuật toán Kruskal; để kiểm tra việc thêm một cạnh (u, v) có tạo thành chu trình hay không; người ta thường làm gì?","Kiểm tra xem u và v đã thuộc cùng một cây (thành phần liên thông) hay chưa","Đếm số đỉnh của cây hiện tại xem có vượt qua n không","Dùng DFS duyệt lại toàn bộ đồ thị ban đầu","Dùng Bellman-Ford để đếm số cạnh",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho G=(V,E) là đồ thị vô hướng liên thông; T là tập hợp con của E. T tạo thành một cây khung của G khi và chỉ khi:","T không tạo thành chu trình và chứa n-1 cạnh","T chứa n cạnh và liên thông tất cả các đỉnh","T chứa đường đi Euler của G","T chứa đúng mọi đỉnh có bậc lớn hơn 1",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Thuật toán Prim và Kruskal trong bài toán tìm cây khung nhỏ nhất đều áp dụng chiến lược thiết kế thuật toán nào?","Tham lam (Greedy)","Quy hoạch động (Dynamic Programming)","Chia để trị (Divide and Conquer)","Quay lui (Backtracking)",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Nếu một đồ thị vô hướng liên thông có các trọng số cạnh phân biệt (không có 2 cạnh nào cùng trọng số) thì khẳng định nào sau đây đúng?","Đồ thị chỉ có duy nhất một cây khung nhỏ nhất","Đồ thị có thể có nhiều cây khung nhỏ nhất","Thuật toán Prim và Kruskal sẽ ra các kết quả khác nhau","Không thể tìm được cây khung nhỏ nhất",A,Vận dụng,1,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Khởi tạo thuật toán Dijkstra; khoảng cách từ đỉnh nguồn S đến chính nó và đến các đỉnh khác V lần lượt bằng bao nhiêu?","0 và Vô cùng","1 và 0","0 và 1","Vô cùng và Vô cùng",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trên đồ thị V đỉnh không có chu trình âm; thuật toán Bellman-Ford lặp tối đa bao nhiêu lần thao tác nới lỏng (relaxation) trên tất cả các cạnh?","V - 1 lần","V lần","V + 1 lần","Chỉ 1 lần duy nhất",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Thao tác chạy lặp thêm vòng lặp thứ V (nếu có) trong thuật toán Bellman-Ford nhằm mục đích gì?","Phát hiện đồ thị có chứa chu trình mang tổng trọng số âm hay không","Giảm thêm chi phí đường đi","Tìm kiếm đường đi Hamilton","In ra các cung thuộc cây khung nhỏ nhất",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Thuật toán Floyd (Floyd-Warshall) tìm đường đi ngắn nhất giữa mọi cặp đỉnh được xây dựng dựa trên phương pháp:","Quy hoạch động","Tham lam","Quay lui","Chia để trị",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong thuật toán Dijkstra; mảng trace[] (hay mảng pi/pre) có tác dụng gì?","Lưu trữ đỉnh liền trước của đỉnh v trên đường đi ngắn nhất từ nguồn đến v","Lưu trữ khoảng cách ngắn nhất tạm thời từ nguồn đến v","Lưu trữ giá trị trọng số lớn nhất trên đường đi","Lưu trữ bậc của mỗi đỉnh trong đồ thị",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Độ phức tạp tính toán (theo thời gian) của thuật toán Floyd trên đồ thị có n đỉnh là:","O(n^3)","O(n^2)","O(n*log(n))","O(2^n)",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Khả năng thông qua (Capacity) của một cung e=(u,v) trong mạng được hiểu là:","Một số thực không âm giới hạn luồng tối đa có thể truyền qua cung đó","Tổng lượng luồng thực tế đang chạy vào đỉnh u","Độ dài (trọng số) ngắn nhất đi từ u qua v","Hệ số hao hụt luồng khi đi qua cung",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Lát cắt (X, X*) trong mạng từ điểm phát S đến điểm thu T là một cách phân hoạch tập đỉnh thành 2 tập X và X* sao cho:","S thuộc tập X và T thuộc tập X*","S và T cùng thuộc tập X","S và T cùng thuộc tập X*","S thuộc tập X* và T thuộc tập X",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Khả năng thông qua của một lát cắt (X, X*) được tính bằng công thức nào?","Tổng khả năng thông qua của các cung có hướng đi từ tập X sang tập X*","Tổng khả năng thông qua của các cung có hướng đi từ tập X* sang tập X","Tổng khả năng thông qua của mọi cung giữa X và X* không kể hướng","Tổng khả năng thông qua của tất cả các cung trong mạng",A,Vận dụng,1,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Đường tăng luồng (Augmenting path) trong thuật toán Ford-Fulkerson là gì?","Một đường đi đơn từ phát đến thu trên đồ thị thặng dư mà dọc theo nó có thể tăng thêm giá trị luồng","Một chu trình bất kỳ trong đồ thị thặng dư có chứa điểm phát","Một đường đi ngắn nhất theo trọng số trên đồ thị ban đầu","Một đường đi mà mọi cung đều có giá trị luồng bằng khả năng thông qua",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Mục đích của việc xây dựng Đồ thị thặng dư (Residual graph) trong bài toán luồng mạng là để:","Thể hiện khả năng thông qua còn lại của các cung và khả năng đẩy ngược luồng đã đi","Lưu trữ lại cây khung có trọng số nhỏ nhất của toàn mạng","Lưu lại những đường đi Euler có trong đồ thị mạng","Tìm ra điểm khớp và cạnh cầu trong hệ thống mạng",A,Vận dụng,1,
Toán rời rạc 2 -> Chương 1 & 2 -> Đồ thị và Biểu diễn,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho đồ thị vô hướng G có tập đỉnh V={1, 2, 3, 4, 5} và tập cạnh E={(1,2), (1,3), (2,3), (3,4), (4,5)}. Bậc của đỉnh 3 là bao nhiêu?","2","3","4","5",B,Nhận biết,,
Toán rời rạc 2 -> Chương 1 & 2 -> Đồ thị và Biểu diễn,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho đồ thị có hướng G có V={A, B, C, D} và tập cung E={(A,B), (A,C), (B,D), (C,D), (D,A)}. Bán bậc ra của đỉnh A và bán bậc vào của đỉnh D lần lượt là:","2 và 2","2 và 1","1 và 2","3 và 2",A,Nhận biết,,
Toán rời rạc 2 -> Chương 1 & 2 -> Đồ thị và Biểu diễn,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho đồ thị vô hướng V={1, 2, 3, 4, 5} và E={(1,2), (2,3), (3,4), (4,5), (5,1)}. Đồ thị này thuộc loại đồ thị nào?","Đồ thị đầy đủ K5","Đồ thị vòng C5","Đồ thị bánh xe W5","Đồ thị hai phía K2-3",B,Thông hiểu,,
Toán rời rạc 2 -> Chương 1 & 2 -> Đồ thị và Biểu diễn,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho ma trận kề A của một đơn đồ thị vô hướng 4 đỉnh. Hàng thứ nhất của ma trận là 0 1 1 0. Điều này có nghĩa là:","Đỉnh 1 kề với tất cả các đỉnh còn lại","Đỉnh 1 có bậc bằng 2 và kề với đỉnh 2 và 3","Đỉnh 1 có đường đi đến đỉnh 4","Đỉnh 1 là đỉnh cô lập",B,Thông hiểu,,
Toán rời rạc 2 -> Chương 1 & 2 -> Đồ thị và Biểu diễn,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong biểu diễn đồ thị có hướng bằng danh sách kề, nếu mảng Adj[u] chứa đỉnh v thì điều này ám chỉ:","Tồn tại cung đi từ u đến v","Tồn tại cung đi từ v đến u","Tồn tại cạnh vô hướng giữa u và v","Không có đường nối trực tiếp u và v",A,Nhận biết,,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho đồ thị vô hướng G có V={A, B, C, D, E} và E={(A,B), (A,C), (B,D), (C,D), (D,E)}. Nếu duyệt DFS từ đỉnh A (ưu tiên đỉnh theo bảng chữ cái), thứ tự duyệt là:","A, B, C, D, E","A, B, D, C, E","A, C, D, B, E","A, B, D, E, C",B,Vận dụng,,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Với đồ thị vô hướng như câu trước: V={A, B, C, D, E} và E={(A,B), (A,C), (B,D), (C,D), (D,E)}. Nếu duyệt BFS từ đỉnh A (ưu tiên theo bảng chữ cái), thứ tự duyệt là:","A, B, D, C, E","A, C, B, D, E","A, B, C, D, E","A, B, C, E, D",C,Vận dụng,,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho đồ thị có hướng G với V={1, 2, 3, 4, 5}, các cung (1,2), (2,3), (3,1), (4,5). Đồ thị này có bao nhiêu thành phần liên thông mạnh?","1","2","3","4",C,Thông hiểu,,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Mã giả đệ quy DFS bị lỗi logic: 'DFS(u): chuaxet[u] = false; for v in Adj[u]: if (chuaxet[v] == false) then DFS(v)'. Lỗi sai nằm ở đâu (quy ước true là chưa xét)?","Điều kiện gọi đệ quy phải là if (chuaxet[v] == true)","Lẽ ra phải gán chuaxet[v] = false trước vòng lặp","Không được dùng đệ quy cho đồ thị lớn","Phải dùng Hàng đợi (Queue) thay vì đệ quy",A,Thông hiểu,,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Sửa lỗi trong mã giả BFS: 'while (!Queue.empty()) { u = Queue.pop(); for v in Adj[u]: if (chuaxet[v]) { chuaxet[v] = false; /* THIẾU LỆNH */ } }'. Lệnh bị thiếu là gì?","DFS(v);","Queue.push(v);","count++;","break;",B,Thông hiểu,,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho đồ thị G có V={1, 2, 3, 4, 5}, E={(1,2), (2,3), (3,1), (3,4), (4,5)}. Nếu xóa cạnh (3,4) thì đồ thị sẽ bị chia làm mấy thành phần liên thông?","1","2","3","4",B,Thông hiểu,,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong ứng dụng BFS tìm đường đi ngắn nhất, thao tác trace[v] = u (lưu vết đỉnh liền trước) phải được đặt ở vị trí nào trong mã giả?","Ngay khi lấy đỉnh u ra khỏi Hàng đợi","Ngay khi phát hiện đỉnh v kề với u và chưa được xét","Ở cuối vòng lặp while","Tại thời điểm khởi tạo đồ thị",B,Thông hiểu,,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Xét đồ thị có V={1, 2, 3, 4, 5} và E={(1,2), (3,4)}. Chạy thuật toán duyệt đếm số thành phần liên thông sẽ trả về kết quả là bao nhiêu?","2","3","4","5",B,Vận dụng,,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho đồ thị vô hướng V={A,B,C,D,E} và tập cạnh E={(A,B), (B,C), (C,D), (D,E), (E,A), (A,C)}. Khẳng định nào sau đây là đúng?","Đồ thị có chu trình Euler","Đồ thị có đường đi Euler nhưng không có chu trình Euler","Đồ thị không có đường đi Euler","Đồ thị có 3 đỉnh bậc lẻ",B,Vận dụng,,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Một đồ thị vô hướng liên thông G có 5 đỉnh. Bậc của các đỉnh lần lượt là 2, 4, 2, 4, 2. Khẳng định nào sau đây là chính xác?","Đồ thị này chắc chắn có chu trình Euler","Đồ thị này không thể có chu trình Hamilton","Đồ thị này là đồ thị có hướng","Đồ thị này là một cái cây",A,Thông hiểu,,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong thuật toán Fleury tìm chu trình Euler, quy tắc cốt lõi khi chọn cạnh (u, v) để đi tiếp là gì?","Ưu tiên chọn cạnh có trọng số lớn nhất","Không bao giờ chọn cạnh cầu trừ khi không còn sự lựa chọn nào khác","Luôn luôn chọn cạnh cầu đầu tiên nhìn thấy","Chọn cạnh dẫn đến đỉnh có bậc chẵn",B,Nhận biết,,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho đồ thị vô hướng G có V={1,2,3,4,5} dạng ngôi sao (đỉnh 1 nối với 2, 3, 4, 5). Đồ thị này có tính chất gì?","Có chu trình Euler","Có chu trình Hamilton","Không có chu trình Euler cũng không có chu trình Hamilton","Có đường đi Euler",C,Thông hiểu,,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong mã giả Quay lui (Backtracking) tìm chu trình Hamilton, sau khi gọi đệ quy Try(i+1) hoàn tất, thao tác bắt buộc tiếp theo là gì?","Thoát khỏi chương trình ngay lập tức","In ra kết quả ngay","Phục hồi trạng thái đỉnh (ví dụ: gán lại chuaxet[j] = true)","Xóa đỉnh đó khỏi đồ thị",C,Thông hiểu,,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Theo định lý Dirac, một đơn đồ thị vô hướng có n đỉnh (n >= 3) sẽ có chu trình Hamilton nếu bậc của mọi đỉnh đều:","Lớn hơn hoặc bằng n/2","Là số chẵn","Nhỏ hơn n/2","Bằng n-1",A,Nhận biết,,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Với bài toán mã đi tuần trên bàn cờ 5x5, nếu coi mỗi ô là một đỉnh và mỗi nước đi hợp lệ của mã là một cạnh, ta đang đi tìm cái gì trên đồ thị?","Đường đi ngắn nhất","Chu trình Euler","Đường đi (hoặc chu trình) Hamilton","Cây khung nhỏ nhất",C,Thông hiểu,,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Cho đồ thị V={1,2,3,4,5}, các cạnh: (1,2) w=2, (1,3) w=4, (2,3) w=1, (2,4) w=3, (3,5) w=2, (4,5) w=5. Dùng thuật toán Kruskal, thứ tự các cạnh được đưa vào cây khung là:","(2,3), (1,2), (3,5), (2,4)","(1,2), (1,3), (2,4), (4,5)","(2,3), (1,2), (3,5), (4,5)","(2,3), (3,5), (1,2), (1,3)",A,Vận dụng,,
