Tên thư mục,Tên đề thi ,Loại câu hỏi,Điểm,Nội dung câu hỏi,A,B,C,D,Đáp Án,Độ Khó,Cố định đáp án,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi môn TRR2,Trắc nghiệm,2.5,"Cạnh cầu trong đồ thị vô hướng liên thông là gì?","Cạnh có trọng số lớn nhất","Cạnh có trọng số nhỏ nhất","Cạnh mà khi xóa nó đi, số thành phần liên thông của đồ thị tăng lên","Cạnh nối hai đỉnh có bậc chẵn",C,Nhận biết,1,
Toán rời rạc 2 -> Chương 3 -> Tìm kiếm trên đồ thị,Đề thi môn TRR2,Trắc nghiệm,2.5,"Để kiểm tra xem một đồ thị vô hướng có liên thông hay không, ta có thể sử dụng thuật toán nào?","Chỉ DFS","Chỉ BFS","DFS hoặc BFS đều được","Thuật toán Floyd",C,Thông hiểu,1,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi môn TRR2,Trắc nghiệm,2.5,"Điều kiện cần và đủ để một đồ thị vô hướng liên thông có chu trình Euler là:","Tất cả các đỉnh đều có bậc chẵn","Có đúng 2 đỉnh bậc lẻ","Tất cả các đỉnh đều có bậc lẻ","Không có đỉnh nào có bậc nhỏ hơn 2",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi môn TRR2,Trắc nghiệm,2.5,"Đồ thị vô hướng liên thông có đường đi Euler (nhưng không có chu trình Euler) khi và chỉ khi:","Tất cả các đỉnh đều có bậc lẻ","Có đúng hai đỉnh có bậc lẻ, các đỉnh còn lại bậc chẵn","Số lượng đỉnh phải là số chẵn","Số lượng cạnh phải là số lẻ",B,Thông hiểu,1,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi môn TRR2,Trắc nghiệm,2.5,"Chu trình Hamilton là chu trình:","Đi qua tất cả các cạnh của đồ thị, mỗi cạnh đúng một lần","Đi qua tất cả các đỉnh của đồ thị, mỗi đỉnh đúng một lần (trừ đỉnh xuất phát)","Đi qua mọi đỉnh và mọi cạnh của đồ thị","Có tổng trọng số nhỏ nhất",B,Nhận biết,1,
Toán rời rạc 2 -> Chương 4 -> Đồ thị Euler và Hamilton,Đề thi môn TRR2,Trắc nghiệm,2.5,"Điều kiện cần và đủ để một đồ thị có hướng liên thông yếu có chu trình Euler là:","Mọi đỉnh đều có bán bậc ra bằng bán bậc vào","Đồ thị không có chu trình","Số lượng cạnh bằng số lượng đỉnh","Mọi đỉnh đều có bậc chẵn",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi môn TRR2,Trắc nghiệm,2.5,"Định nghĩa nào sau đây về Cây là đúng đắn nhất?","Đồ thị vô hướng, liên thông và không có chu trình","Đồ thị có hướng, không có chu trình","Đồ thị vô hướng liên thông","Đồ thị có số cạnh bằng số đỉnh trừ 1",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi môn TRR2,Trắc nghiệm,2.5,"Một cây có n đỉnh (n >= 1) thì sẽ có chính xác bao nhiêu cạnh?","n","n - 1","n + 1","n(n-1)/2",B,Nhận biết,1,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi môn TRR2,Trắc nghiệm,2.5,"Mục đích của thuật toán Kruskal là gì?","Tìm đường đi ngắn nhất giữa hai đỉnh","Tìm luồng cực đại trong mạng","Tìm cây khung nhỏ nhất của đồ thị vô hướng có trọng số","Kiểm tra tính liên thông của đồ thị",C,Nhận biết,1,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi môn TRR2,Trắc nghiệm,2.5,"Trong thuật toán Kruskal, tiêu chí để chọn cạnh thêm vào cây khung đang xây dựng là:","Cạnh có trọng số lớn nhất không tạo thành chu trình","Cạnh kề với đỉnh vừa được thêm vào","Cạnh có trọng số nhỏ nhất mà không tạo thành chu trình","Cạnh có chỉ số nhỏ nhất",C,Thông hiểu,1,
Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung,Đề thi môn TRR2,Trắc nghiệm,2.5,"Sự khác biệt cơ bản về cách phát triển cây khung giữa Prim và Kruskal là:","Prim chọn cạnh, Kruskal duyệt đỉnh","Prim phát triển từ 1 đỉnh duy nhất và lan rộng, Kruskal chọn các cạnh rời rạc rồi hợp nhất","Prim chỉ dùng cho đồ thị có hướng, Kruskal dùng cho đồ thị vô hướng","Không có sự khác biệt",B,Vận dụng,1,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi môn TRR2,Trắc nghiệm,2.5,"Thuật toán Dijkstra dùng để tìm đường đi ngắn nhất có một hạn chế là:","Chỉ hoạt động với đồ thị vô hướng","Chỉ áp dụng được cho đồ thị đầy đủ","Không áp dụng được cho đồ thị có cạnh mang trọng số âm","Chỉ tìm được đường đi giữa các đỉnh kề nhau",C,Thông hiểu,1,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi môn TRR2,Trắc nghiệm,2.5,"Thuật toán Bellman-Ford có ưu điểm gì so với thuật toán Dijkstra?","Chạy nhanh hơn trên mọi đồ thị","Tìm được đường đi ngắn nhất ngay cả khi đồ thị có cạnh trọng số âm (không có chu trình âm)","Tìm được đường đi Euler trên đồ thị","Biểu diễn được đồ thị dưới dạng cây",B,Thông hiểu,1,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi môn TRR2,Trắc nghiệm,2.5,"Thuật toán Floyd được sử dụng để giải quyết bài toán nào?","Tìm cây khung nhỏ nhất","Tìm đường đi ngắn nhất từ một đỉnh nguồn đến các đỉnh còn lại","Tìm đường đi ngắn nhất giữa tất cả các cặp đỉnh trong đồ thị","Tìm chu trình Hamilton ngắn nhất",C,Nhận biết,1,
Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất,Đề thi môn TRR2,Trắc nghiệm,2.5,"Trong quá trình thực thi thuật toán Dijkstra, nhãn d[v] của đỉnh v lưu trữ giá trị gì?","Bậc của đỉnh v","Khoảng cách đường đi ngắn nhất tạm thời từ đỉnh nguồn đến đỉnh v","Khoảng cách từ đỉnh kề gần nhất đến v","Số lượng cạnh trên đường đi đến v",B,Thông hiểu,1,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi môn TRR2,Trắc nghiệm,2.5,"Trong bài toán luồng mạng, đặc điểm của đỉnh phát (Source - s) là:","Có bán bậc ra bằng 0","Có bán bậc vào bằng 0","Tổng luồng đi vào bằng tổng luồng đi ra","Chỉ nối với một đỉnh duy nhất",B,Nhận biết,1,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi môn TRR2,Trắc nghiệm,2.5,"Trong bài toán luồng mạng, đặc điểm của đỉnh thu (Sink - t) là:","Có bán bậc vào bằng 0","Có bán bậc ra bằng 0","Là đỉnh có trọng số lớn nhất","Nối liền với đỉnh phát",B,Nhận biết,1,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi môn TRR2,Trắc nghiệm,2.5,"Luật bảo toàn luồng (Flow conservation) tại một đỉnh trung gian v (v khác s và t) phát biểu rằng:","Tổng luồng đi vào v lớn hơn tổng luồng đi ra khỏi v","Tổng luồng đi vào v luôn bằng tổng khả năng thông qua các cung ra khỏi v","Tổng luồng đi vào v bằng tổng luồng đi ra khỏi v","Tổng luồng đi qua v phải bằng 0",C,Thông hiểu,1,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi môn TRR2,Trắc nghiệm,2.5,"Định lý Luồng cực đại - Lát cắt cực tiểu (Max flow - Min cut) khẳng định:","Giá trị luồng cực đại bằng khả năng thông qua của lát cắt lớn nhất","Giá trị luồng cực đại bằng khả năng thông qua của lát cắt nhỏ nhất (hẹp nhất)","Luồng cực đại luôn bằng tổng khả năng thông qua của tất cả các cung","Luồng cực đại bằng khoảng cách ngắn nhất từ điểm phát đến điểm thu",B,Thông hiểu,1,
Toán rời rạc 2 -> Chương 7 -> Luồng cực đại trong mạng,Đề thi môn TRR2,Trắc nghiệm,2.5,"Thuật toán Ford-Fulkerson tìm luồng cực đại dựa trên việc lặp lại thao tác nào sau đây?","Tìm cây khung nhỏ nhất trên mạng","Tìm đường tăng luồng trên đồ thị tăng luồng (mạng thặng dư)","Xóa các cung có khả năng thông qua bằng 0","Thu gọn các đồ thị con liên thông mạnh",B,Thông hiểu,1,
