Tên thư mục,Tên đề thi,Loại câu hỏi,Điểm,Nội dung câu hỏi,A,B,C,D,Đáp Án,Độ Khó,Cố định đáp án,,
"Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Đối với đơn đồ thị vô hướng n đỉnh, ma trận kề A có tính chất nào dưới đây?","Ma trận A là ma trận đơn vị.","Ma trận A luôn đối xứng qua đường chéo phụ.","Ma trận A luôn đối xứng qua đường chéo chính.","Tất cả các phần tử của A đều khác 0.","C","NB",1,,
"Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong ma trận kề A của đơn đồ thị vô hướng n đỉnh, các phần tử trên đường chéo chính A[i][i] luôn có giá trị bằng:","1","0","n","Bằng bậc của đỉnh i.","B","NB",1,,
"Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Khi tính tổng các phần tử trên hàng i của ma trận kề (đối với đồ thị có hướng), kết quả thu được là:","Bán bậc vào của đỉnh i.","Bán bậc ra của đỉnh i.","Tổng số cạnh của đồ thị.","Số khuyên tại đỉnh i.","B","TH",1,,
"Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Khuyết điểm lớn nhất khi dùng Ma trận kề để biểu diễn đồ thị thưa (n đỉnh, rất ít cạnh) là gì?","Không biểu diễn được đồ thị có hướng.","Lãng phí bộ nhớ lưu trữ nhiều giá trị 0 (O(n^2)).","Thời gian duyệt danh sách đỉnh kề rất nhanh.","Không thể dùng được cho đồ thị trọng số.","B","TH",1,,
"Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong cấu trúc Danh sách kề của đồ thị vô hướng, tổng độ dài của tất cả các danh sách con bằng:","Tổng số đỉnh n.","Số lượng cạnh m.","Hai lần số lượng cạnh (2m).","Bình phương số cạnh.","C","TH",1,,
"Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Biểu diễn đồ thị bằng Danh sách cạnh (Edge List) gặp bất lợi lớn nhất (tốn thời gian O(E)) trong thao tác nào sau đây?","Thêm một cạnh mới vào đồ thị.","Duyệt qua tất cả các cạnh.","Tìm tất cả các đỉnh kề với một đỉnh u bất kỳ.","Đếm tổng số cạnh của đồ thị.","C","VD",1,,
"Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong ma trận trọng số C của đồ thị, nếu không tồn tại cạnh nối trực tiếp từ đỉnh i đến đỉnh j thì C[i][j] được quy ước gán bằng:","0","1","-1","+Vô cùng (infinity) hoặc một số rất lớn.","D","NB",1,,
"Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Cho ma trận kề A, giả sử A[i][j] = 2. Điều này khẳng định đây là cách biểu diễn của loại đồ thị nào?","Đơn đồ thị có hướng.","Đơn đồ thị vô hướng.","Đa đồ thị.","Cây liên thông.","C","TH",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Cấu trúc dữ liệu nào thường được dùng để cài đặt khử đệ quy cho thuật toán Tìm kiếm theo chiều sâu (DFS)?","Hàng đợi (Queue).","Ngăn xếp (Stack).","Danh sách liên kết đôi.","Hàng đợi ưu tiên (Priority Queue).","B","NB",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Cấu trúc dữ liệu nào đóng vai trò cốt lõi trong việc cài đặt thuật toán Tìm kiếm theo chiều rộng (BFS)?","Cây AVL.","Ngăn xếp (Stack).","Hàng đợi (Queue).","Mảng hai chiều tĩnh.","C","NB",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Chiến lược ưu tiên của quá trình duyệt DFS là gì?","Đi xuống sâu nhất có thể từ đỉnh hiện tại trước khi quay lui.","Thăm tất cả các đỉnh kề trực tiếp rồi mới mở rộng tiếp.","Luôn chọn cạnh có trọng số nhỏ nhất để đi.","Chỉ chạy trên đồ thị vô hướng không có chu trình.","A","NB",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Thuật toán duyệt nào đảm bảo việc tìm được đường đi ngắn nhất (ít số cạnh nhất) từ một đỉnh nguồn đến các đỉnh còn lại trên đồ thị không trọng số?","DFS đệ quy.","DFS dùng Stack.","BFS dùng Queue.","Kruskal.","C","TH",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Sắp xếp thứ tự các bước cơ bản của BFS sử dụng Queue: (1) Lấy u từ Queue. (2) Đưa đỉnh xuất phát S vào Queue và đánh dấu đã thăm. (3) Đưa các đỉnh kề v chưa thăm của u vào Queue và đánh dấu đã thăm.","1 -> 2 -> 3","2 -> 1 -> 3","3 -> 1 -> 2","2 -> 3 -> 1","B","VD",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong quá trình thiết lập ma trận/danh sách kề, nếu các cạnh kề của đỉnh u được duyệt theo số thứ tự đỉnh tăng dần thì đường đi in ra bởi thuật toán duyệt sẽ:","Luôn ưu tiên đi qua đỉnh kề có số thứ tự nhỏ nhất trước.","Luôn ưu tiên đi qua đỉnh kề có số thứ tự lớn nhất trước.","Không phụ thuộc vào thứ tự sắp xếp.","Gây ra lỗi vòng lặp vô hạn.","A","TH",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Lỗi sai logic nào rất phổ biến khi cài đặt thuật toán BFS gây lãng phí bộ nhớ Queue?","Đánh dấu đỉnh đã thăm ngay khi vừa lấy nó ra khỏi Queue thay vì đánh dấu lúc đưa vào Queue.","Sử dụng mảng để đánh dấu chuaxet[v].","Đẩy đỉnh bắt đầu vào Queue.","Kiểm tra điều kiện Queue rỗng.","A","VD",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Chỉ ra lỗi sai trong giả mã đệ quy DFS sau: 'void DFS(u) { for(v kề u) { if(chuaxet[v]) DFS(v); } chuaxet[u] = false; }' với mảng chuaxet khởi tạo ban đầu là true.","Vòng lặp không thể duyệt đỉnh kề.","Sai cú pháp gọi hàm.","Thiếu bước đánh dấu đỉnh u đã xét (chuaxet[u] = false) ngay đầu hàm dẫn đến đệ quy vô hạn.","Phải dùng Queue thay vì vòng for.","C","VD",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Với đồ thị vô hướng có n thành phần liên thông, quá trình gọi hàm duyệt thuật toán DFS/BFS từ vòng lặp chính của chương trình sẽ được thực hiện mấy lần đối với đồ thị mới hoàn toàn?","1 lần.","n lần.","Tùy thuộc vào số lượng cạnh.","Vô số lần.","B","TH",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Để ứng dụng DFS tìm đường đi từ s đến t, ta ghi nhận kết quả bằng mảng lưu vết: truoc[v] = u. Nếu s và t nằm khác thành phần liên thông thì sau khi duyệt:","Giá trị truoc[t] bằng s.","Thuật toán báo lỗi rỗng Stack.","Đỉnh t vẫn ở trạng thái chưa được thăm.","Mảng truoc chứa toàn số 0.","C","TH",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong danh sách liên kết biểu diễn đồ thị V đỉnh và E cạnh, độ phức tạp thuật toán BFS là:","O(V * E)","O(V^2)","O(V + E)","O(V^3)","C","NB",1,,
"Toán rời rạc 2 -> Chương 3 -> Duyệt đồ thị","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Khi dùng thuật toán duyệt DFS để xây dựng cây khung (Spanning Tree by DFS) từ một đỉnh gốc, cây khung sinh ra thường có đặc điểm:","Chiều cao hẹp và đi sâu dọc theo các nhánh con.","Chiều rộng rất lớn giống với cấu trúc thư mục phẳng.","Luôn là cây khung có tổng trọng số cạnh nhỏ nhất.","Chỉ chứa các đỉnh bậc chẵn.","A","TH",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Theo định lý Euler, một đơn đồ thị vô hướng, liên thông là đồ thị Euler (có chu trình Euler) khi và chỉ khi:","Đồ thị không chứa chu trình nào.","Tất cả các đỉnh của đồ thị đều có bậc chẵn.","Đồ thị có đúng hai đỉnh bậc lẻ.","Mọi đỉnh đều có bậc bằng n-1.","B","NB",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Một đơn đồ thị vô hướng liên thông là đồ thị nửa Euler (có đường đi Euler nhưng không có chu trình Euler) khi thỏa mãn:","Mọi đỉnh đều bậc chẵn.","Chứa đúng một đỉnh bậc lẻ.","Chứa đúng hai đỉnh bậc lẻ.","Chứa ít nhất ba đỉnh bậc lẻ.","C","NB",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong thuật toán tìm chu trình Euler dùng cấu trúc Stack, hành động nào sẽ được thực hiện khi từ đỉnh u ta chọn đi qua cạnh kề (u, v)?","Sao chép đỉnh u thành một đỉnh mới.","Xóa cạnh (u, v) khỏi đồ thị và đẩy v vào Stack.","Lưu trọng số của cạnh vào biến toàn cục.","Lấy u ra khỏi chu trình.","B","TH",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Chu trình Hamilton là chu trình trên đồ thị có đặc điểm:","Đi qua tất cả các cạnh của đồ thị, mỗi cạnh đúng một lần.","Đi qua tất cả các đỉnh của đồ thị, mỗi đỉnh đúng một lần (trừ đỉnh đầu trùng đỉnh cuối).","Bắt buộc phải đi qua mọi cạnh và mọi đỉnh.","Là đường đi ngắn nhất giữa mọi cặp đỉnh.","B","NB",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Định lý Dirac về tính chất Hamilton của đồ thị khẳng định: Cho đồ thị vô hướng G có n đỉnh (n >= 3). G là đồ thị Hamilton nếu mọi đỉnh v của nó đều thoả mãn:","bậc(v) >= n / 2","bậc(v) <= n / 2","bậc(v) = n - 1","bậc(v) >= 2","A","TH",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Định lý Ore mở rộng điều kiện Hamilton đối với đồ thị vô hướng n đỉnh (n >= 3). G là đồ thị Hamilton nếu đối với mọi cặp đỉnh u, v không kề nhau, ta có:","bậc(u) + bậc(v) <= n","bậc(u) + bậc(v) >= n","bậc(u) + bậc(v) = n - 1","bậc(u) * bậc(v) >= n^2","B","TH",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Sắp xếp thứ tự các bước trong giả mã tìm chu trình Euler bằng Stack: (1) Khởi tạo Stack chứa đỉnh xuất phát u. (2) Nếu kề(s) rỗng, đưa s từ Stack ra in vào chu trình. (3) Lấy s ở đỉnh Stack, nếu kề(s) khác rỗng, lấy cạnh (s, t), xóa cạnh này, đẩy t vào Stack.","1 -> 2 -> 3","1 -> 3 -> 2","3 -> 2 -> 1","2 -> 1 -> 3","B","VD",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Cây liên thông T có số đỉnh n >= 2 là đồ thị thuộc loại nào?","Đồ thị Euler.","Đồ thị Hamilton.","Vừa là đồ thị Euler vừa là Hamilton.","Không phải đồ thị Euler cũng không phải đồ thị Hamilton.","D","TH",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Một đồ thị có hướng mạnh, liên thông yếu là đồ thị Euler khi tại mọi đỉnh v nó thỏa mãn điều kiện gì?","Bán bậc vào của v là số chẵn.","Bán bậc ra của v là số lẻ.","Bán bậc vào của v bằng với bán bậc ra của v.","Tổng bán bậc vào và ra bằng n.","C","TH",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Thuật toán duyệt liệt kê tất cả các chu trình Hamilton của một đồ thị sử dụng phương pháp nào là phổ biến nhất?","Quy hoạch động cơ bản O(n).","Tham lam chọn cạnh lớn nhất.","Chia để trị.","Thuật toán Quay lui (Backtracking).","D","NB",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Lỗi sai về tư duy nào sau đây dễ mắc phải khi tìm chu trình Euler bằng cách đếm bậc đỉnh?","Kết luận đồ thị có chu trình Euler chỉ bằng việc xét mọi đỉnh đều bậc chẵn mà quên không kiểm tra tính liên thông của các đỉnh có bậc khác 0.","Quên không đếm số cạnh chẵn lẻ.","Sử dụng quá nhiều cấu trúc ngăn xếp.","Khởi tạo nhãn cho các đỉnh theo DFS.","A","VD",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Số chu trình Hamilton của đồ thị đầy đủ K_n (n >= 3) vô hướng bằng bao nhiêu?","n!","(n - 1)! / 2","(n + 1)!","2^n","B","TH",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Đồ thị đầy đủ K_n vô hướng liên thông là đồ thị Euler khi điều kiện của n là:","n là số nguyên tố.","n là số chẵn.","n là số lẻ (n >= 3).","Mọi giá trị n.","C","TH",1,,
"Toán rời rạc 2 -> Chương 4 -> Euler & Hamilton","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong thuật toán Fleury tìm đường đi/chu trình Euler, nguyên tắc cốt lõi khi phải lựa chọn giữa một cạnh cầu (bridge) và một cạnh không phải là cầu là gì?","Chỉ được phép qua cạnh cầu nếu không còn lựa chọn cạnh nào khác.","Phải ưu tiên đi qua cạnh cầu đầu tiên để chia cắt đồ thị sớm.","Bốc thăm ngẫu nhiên một trong hai.","Bỏ qua cả hai cạnh và đi ngược lại.","A","TH",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong lý thuyết đồ thị vô hướng, Cây (Tree) được định nghĩa là:","Đồ thị có n đỉnh và n cạnh.","Một đồ thị vô hướng, liên thông và không có chu trình.","Tập hợp các đồ thị có hướng chia mức.","Một chu trình có trọng số tối thiểu.","B","NB",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Một rừng (Forest) được định nghĩa là:","Đồ thị liên thông nhưng có chu trình.","Đồ thị vô hướng không có chu trình. Mọi thành phần liên thông của nó là một cây.","Một hệ thống đồ thị đầy đủ.","Tập hợp các đồ thị vòng chồng chéo.","B","NB",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Giả sử một cây T có 20 đỉnh. Tổng số cạnh của cây T là bao nhiêu?","20","21","19","10","C","TH",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Cây khung nhỏ nhất (MST) của đồ thị vô hướng, liên thông, có trọng số là cây khung có đặc tính gì?","Tổng độ dài các đường đi từ gốc đến mọi đỉnh là ngắn nhất.","Chứa các đỉnh có bậc lớn nhất.","Tổng trọng số của tất cả các cạnh tạo nên cây khung đó là nhỏ nhất.","Phải chứa toàn bộ các cạnh trọng số âm trong đồ thị.","C","NB",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Thuật toán Kruskal tìm cây khung nhỏ nhất khởi đầu bằng thao tác nào?","Khởi tạo tập V_T chứa một đỉnh bất kỳ và tập E_T rỗng.","Khởi tạo một ma trận đánh dấu đường đi.","Duyệt qua đồ thị bằng hàm DFS đệ quy.","Sắp xếp tất cả các cạnh của đồ thị theo thứ tự trọng số tăng dần.","D","TH",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Tiêu chí để bổ sung một cạnh e vào tập cây khung trong bước lặp của Kruskal là:","Cạnh e có trọng số nhỏ nhất còn lại và không tạo thành chu trình với các cạnh đã được chọn.","Cạnh e có đỉnh nằm chung một thành phần liên thông với tập đã xét.","Cạnh e phải kề với cạnh vừa được chọn trước đó.","Cạnh e có trọng số lớn hơn trọng số cạnh trước đó.","A","TH",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Thuật toán Kruskal thường kết hợp rất hiệu quả với cấu trúc dữ liệu nào để kiểm tra một cạnh mới có tạo chu trình hay không?","Hàng đợi (Queue).","Tập hợp rời rạc (Disjoint Set / Union-Find).","Ngăn xếp (Stack).","Ma trận vuông đối xứng.","B","TH",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Thuật toán Prim dùng tư tưởng phát triển từ một đỉnh gốc. Ở mỗi bước lặp, cạnh được chọn để kết nạp vào cây khung nhỏ nhất là:","Cạnh có trọng số nhỏ nhất của toàn bộ tập E ban đầu.","Cạnh có trọng số nhỏ nhất kết nối 1 đỉnh đã thuộc cây khung và 1 đỉnh chưa thuộc cây khung.","Cạnh kề với đỉnh gốc ban đầu có trọng số nhỏ nhất.","Cạnh nối 2 đỉnh bất kỳ chưa được thăm.","B","NB",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Nếu một đồ thị liên thông có n đỉnh, thuật toán Prim phải thực hiện lặp chọn chính xác bao nhiêu cạnh để hoàn thiện cây khung?","n - 1 cạnh.","n cạnh.","n + 1 cạnh.","Vô số cạnh.","A","TH",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Đặc điểm khác biệt cốt lõi giữa Prim và Kruskal là gì?","Kruskal chỉ dùng cho đồ thị có hướng, Prim dùng cho vô hướng.","Kruskal có thể xử lý đồ thị có trọng số âm, Prim thì không.","Prim phát triển mở rộng tập đỉnh nối liền duy nhất từ 1 gốc, còn Kruskal tạo tập hợp rừng và ghép dần lại thành 1 cây.","Kruskal cho ra cây khung có tổng trọng số bé hơn Prim trên cùng 1 đồ thị.","C","VD",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Sắp xếp thứ tự một vòng lặp của thuật toán Prim: (1) Đưa đỉnh v vào tập đỉnh cây V_T. (2) Tìm cạnh (u, v) có trọng số nhỏ nhất nối tập V_T và tập còn lại. (3) Đưa cạnh (u, v) vào tập cạnh cây E_T.","1 -> 2 -> 3","2 -> 1 -> 3","3 -> 2 -> 1","2 -> 3 -> 1","B","VD",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Lỗi sai nghiêm trọng nào dẫn đến sai số thuật toán Prim khi tìm cạnh ngắn nhất giữa V_T và (V \ V_T)?","Kiểm tra điều kiện để nạp cả đỉnh gốc vào.","Không đánh dấu hoặc không loại bỏ các đỉnh đã kết nạp vào tập V_T, dẫn đến kết nạp cạnh tạo chu trình khép kín bên trong V_T.","Tìm min dựa trên ma trận có giá trị 0 trên đường chéo.","Khởi tạo V_T từ một đỉnh tùy ý.","B","VD",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Tính chất đúng đắn về số lượng cây khung nhỏ nhất: Nếu mọi cạnh trong đồ thị đều có trọng số phân biệt (không có 2 cạnh nào trùng trọng số) thì:","Có vô số cây khung nhỏ nhất.","Cây khung nhỏ nhất của đồ thị là duy nhất.","Chỉ thuật toán Kruskal mới chạy đúng được.","Có đúng 2 cây khung nhỏ nhất.","B","TH",1,,
"Toán rời rạc 2 -> Chương 5 -> Cây và Cây khung","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Cho một đơn đồ thị có hướng trọng số. Phương pháp DFS hoặc BFS cơ bản được dùng để xác định loại cây nào?","Cây khung lớn nhất.","Cây bao trùm không đảm bảo tổng trọng số là nhỏ nhất.","Cây khung nhỏ nhất.","Cây chu trình Hamilton.","B","TH",1,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Mục tiêu chính của thuật toán Dijkstra là giải quyết bài toán:","Tìm đường đi ngắn nhất giữa hai đỉnh bất kỳ trên mọi loại đồ thị.","Tìm đường đi ngắn nhất từ một đỉnh nguồn đến tất cả các đỉnh còn lại trên đồ thị có trọng số cạnh không âm.","Tìm chu trình Euler có độ dài tối thiểu.","Liệt kê tất cả các cây khung nhỏ nhất.","B","NB",1,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Thao tác 'nới lỏng' (Relaxation) cạnh (u, v) với trọng số W(u, v) trong bài toán đường đi ngắn nhất lưu ở mảng d[] diễn ra như thế nào?","Nếu d[v] > d[u] + W(u, v) thì cập nhật d[v] = d[u] + W(u, v)","Nếu d[v] < d[u] + W(u, v) thì cập nhật d[v] = d[u] + W(u, v)","Luôn gán d[v] = min(d[u], W(u, v))","Gán d[v] = d[u] * W(u, v)","A","TH",1,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Thuật toán Bellman-Ford vượt trội hơn thuật toán Dijkstra ở khả năng nào sau đây?","Thời gian chạy vượt trội với độ phức tạp O(V + E).","Không sử dụng mảng lưu khoảng cách.","Tìm chính xác đường đi ngắn nhất ngay cả khi đồ thị có cạnh trọng số âm và có khả năng phát hiện chu trình âm.","Tìm được luồng mạng cực đại.","C","TH",1,,
"Toán rời rạc 2 -> Chương 6 -> Đường đi ngắn nhất","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Số vòng lặp tối đa thao tác 'nới lỏng' toàn bộ E cạnh trong thuật toán Bellman-Ford để xác định các khoảng cách ngắn nhất (đồ thị có V đỉnh, không có chu trình âm) là bao nhiêu?","V vòng.","V - 1 vòng.","E vòng.","V^2 vòng.","B","NB",1,,
